date,lineage,count
19/12/2020,BA.5.3,0
26/12/2020,A,13
26/12/2020,B,1135
26/12/2020,B.1.1.7,2164
26/12/2020,B.1.617.2,0
26/12/2020,B.1.1.529,0
26/12/2020,BA.2,0
26/12/2020,BA.4,0
26/12/2020,BA.5,0
26/12/2020,BA.1,0
26/12/2020,BA.2.75,0
26/12/2020,XBB,0
26/12/2020,BA.5.3,0
02/01/2021,A,3
02/01/2021,B,1064
02/01/2021,B.1.1.7,4264
02/01/2021,B.1.617.2,0
02/01/2021,B.1.1.529,0
02/01/2021,BA.2,0
02/01/2021,BA.4,0
02/01/2021,BA.5,0
02/01/2021,BA.1,0
02/01/2021,BA.2.75,0
02/01/2021,XBB,0
02/01/2021,BA.5.3,0
09/01/2021,A,7
09/01/2021,B,1319
09/01/2021,B.1.1.7,5540
09/01/2021,B.1.617.2,0
09/01/2021,B.1.1.529,0
09/01/2021,BA.2,0
09/01/2021,BA.4,0
09/01/2021,BA.5,0
09/01/2021,BA.1,0
09/01/2021,BA.2.75,0
09/01/2021,XBB,0
09/01/2021,BA.5.3,0
16/01/2021,A,20
16/01/2021,B,1513
16/01/2021,B.1.1.7,7531
16/01/2021,B.1.617.2,0
16/01/2021,B.1.1.529,0
16/01/2021,BA.2,0
16/01/2021,BA.4,0
16/01/2021,BA.5,0
16/01/2021,BA.1,0
16/01/2021,BA.2.75,0
16/01/2021,XBB,0
16/01/2021,BA.5.3,0
23/01/2021,A,15
23/01/2021,B,1086
23/01/2021,B.1.1.7,8739
23/01/2021,B.1.617.2,0
23/01/2021,B.1.1.529,0
23/01/2021,BA.2,0
23/01/2021,BA.4,0
23/01/2021,BA.5,0
23/01/2021,BA.1,0
23/01/2021,BA.2.75,0
23/01/2021,XBB,0
23/01/2021,BA.5.3,0
30/01/2021,A,13
30/01/2021,B,850
30/01/2021,B.1.1.7,10839
30/01/2021,B.1.617.2,0
30/01/2021,B.1.1.529,0
30/01/2021,BA.2,0
30/01/2021,BA.4,0
30/01/2021,BA.5,0
30/01/2021,BA.1,0
30/01/2021,BA.2.75,0
30/01/2021,XBB,0
30/01/2021,BA.5.3,0
06/02/2021,A,1
06/02/2021,B,142
06/02/2021,B.1.1.7,3083
06/02/2021,B.1.617.2,0
06/02/2021,B.1.1.529,0
06/02/2021,BA.2,0
06/02/2021,BA.4,0
06/02/2021,BA.5,0
06/02/2021,BA.1,0
06/02/2021,BA.2.75,0
06/02/2021,XBB,0
06/02/2021,BA.5.3,0
13/02/2021,A,5
13/02/2021,B,169
13/02/2021,B.1.1.7,5498
13/02/2021,B.1.617.2,0
13/02/2021,B.1.1.529,0
13/02/2021,BA.2,0
13/02/2021,BA.4,0
13/02/2021,BA.5,0
13/02/2021,BA.1,0
13/02/2021,BA.2.75,0
13/02/2021,XBB,0
13/02/2021,BA.5.3,0
20/02/2021,A,1
20/02/2021,B,197
20/02/2021,B.1.1.7,9016
20/02/2021,B.1.617.2,0
20/02/2021,B.1.1.529,0
20/02/2021,BA.2,0
20/02/2021,BA.4,0
20/02/2021,BA.5,0
20/02/2021,BA.1,0
20/02/2021,BA.2.75,0
20/02/2021,XBB,0
20/02/2021,BA.5.3,0
27/02/2021,A,0
27/02/2021,B,95
27/02/2021,B.1.1.7,8531
27/02/2021,B.1.617.2,0
27/02/2021,B.1.1.529,0
27/02/2021,BA.2,0
27/02/2021,BA.4,0
27/02/2021,BA.5,0
27/02/2021,BA.1,0
27/02/2021,BA.2.75,0
27/02/2021,XBB,0
27/02/2021,BA.5.3,0
06/03/2021,A,0
06/03/2021,B,107
06/03/2021,B.1.1.7,8557
06/03/2021,B.1.617.2,0
06/03/2021,B.1.1.529,0
06/03/2021,BA.2,0
06/03/2021,BA.4,0
06/03/2021,BA.5,0
06/03/2021,BA.1,0
06/03/2021,BA.2.75,0
06/03/2021,XBB,0
06/03/2021,BA.5.3,0
13/03/2021,A,0
13/03/2021,B,73
13/03/2021,B.1.1.7,10097
13/03/2021,B.1.617.2,0
13/03/2021,B.1.1.529,0
13/03/2021,BA.2,0
13/03/2021,BA.4,0
13/03/2021,BA.5,0
13/03/2021,BA.1,0
13/03/2021,BA.2.75,0
13/03/2021,XBB,0
13/03/2021,BA.5.3,0
20/03/2021,A,1
20/03/2021,B,73
20/03/2021,B.1.1.7,10887
20/03/2021,B.1.617.2,0
20/03/2021,B.1.1.529,0
20/03/2021,BA.2,0
20/03/2021,BA.4,0
20/03/2021,BA.5,0
20/03/2021,BA.1,0
20/03/2021,BA.2.75,0
20/03/2021,XBB,0
20/03/2021,BA.5.3,0
27/03/2021,A,16
27/03/2021,B,73
27/03/2021,B.1.1.7,12542
27/03/2021,B.1.617.2,1
27/03/2021,B.1.1.529,0
27/03/2021,BA.2,0
27/03/2021,BA.4,0
27/03/2021,BA.5,0
27/03/2021,BA.1,0
27/03/2021,BA.2.75,0
27/03/2021,XBB,0
27/03/2021,BA.5.3,0
03/04/2021,A,3
03/04/2021,B,49
03/04/2021,B.1.1.7,8755
03/04/2021,B.1.617.2,2
03/04/2021,B.1.1.529,0
03/04/2021,BA.2,0
03/04/2021,BA.4,0
03/04/2021,BA.5,0
03/04/2021,BA.1,0
03/04/2021,BA.2.75,0
03/04/2021,XBB,0
03/04/2021,BA.5.3,0
10/04/2021,A,3
10/04/2021,B,62
10/04/2021,B.1.1.7,5593
10/04/2021,B.1.617.2,23
10/04/2021,B.1.1.529,0
10/04/2021,BA.2,0
10/04/2021,BA.4,0
10/04/2021,BA.5,0
10/04/2021,BA.1,0
10/04/2021,BA.2.75,0
10/04/2021,XBB,0
10/04/2021,BA.5.3,0
17/04/2021,A,2
17/04/2021,B,80
17/04/2021,B.1.1.7,4738
17/04/2021,B.1.617.2,59
17/04/2021,B.1.1.529,0
17/04/2021,BA.2,0
17/04/2021,BA.4,0
17/04/2021,BA.5,0
17/04/2021,BA.1,0
17/04/2021,BA.2.75,0
17/04/2021,XBB,0
17/04/2021,BA.5.3,0
24/04/2021,A,2
24/04/2021,B,127
24/04/2021,B.1.1.7,4617
24/04/2021,B.1.617.2,201
24/04/2021,B.1.1.529,0
24/04/2021,BA.2,0
24/04/2021,BA.4,0
24/04/2021,BA.5,0
24/04/2021,BA.1,0
24/04/2021,BA.2.75,0
24/04/2021,XBB,0
24/04/2021,BA.5.3,0
01/05/2021,A,0
01/05/2021,B,108
01/05/2021,B.1.1.7,3824
01/05/2021,B.1.617.2,501
01/05/2021,B.1.1.529,0
01/05/2021,BA.2,0
01/05/2021,BA.4,0
01/05/2021,BA.5,0
01/05/2021,BA.1,0
01/05/2021,BA.2.75,0
01/05/2021,XBB,0
01/05/2021,BA.5.3,0
08/05/2021,A,4
08/05/2021,B,89
08/05/2021,B.1.1.7,3110
08/05/2021,B.1.617.2,1324
08/05/2021,B.1.1.529,0
08/05/2021,BA.2,0
08/05/2021,BA.4,0
08/05/2021,BA.5,0
08/05/2021,BA.1,0
08/05/2021,BA.2.75,0
08/05/2021,XBB,0
08/05/2021,BA.5.3,0
15/05/2021,A,1
15/05/2021,B,54
15/05/2021,B.1.1.7,2295
15/05/2021,B.1.617.2,2187
15/05/2021,B.1.1.529,0
15/05/2021,BA.2,0
